study_id,crop,focus,findings,year,source
BR-Sugarcane-2017,Sugarcane (CTC91087-6),Innovation,First GM sugarcane approved in Brazil; resistant to sugarcane borer.,2017,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=315
CA-Alfalfa-2005,Alfalfa (HT),Approval,HT alfalfa approved in Canada.,2005,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CA-Apple-2015,Apple (Arctic),Innovation,Arctic apple approved in Canada.,2015,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CA-Canola-1995,Canola (HT),Regulatory history,First GM crop in Canada (HT canola) approved 1995.,1995,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CA-Maize-1996,Maize (Bt/HT),Regulatory history,Bt and HT maize approved in Canada in 1996.,1996,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CA-Potato-2015,Potato (Innate),Innovation,Innate potato approved in Canada.,2015,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CA-Soy-1997,Soybean (RR),Regulatory history,RR soybean approved 1997 in Canada.,1997,https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/approved-events/eng/1338187634593/1338187758642
CN-Cotton-1997,Bt cotton,Adoption/impact,Adoption reduced pesticide use and increased yields; widely studied.,1997,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
CN-Maize-2009,GM maize,Policy context,Biosafety certificates issued but commercialisation delayed.,2009,https://www.nature.com/articles/467150a
CN-Rice-2009,GM rice,Policy context,Biosafety certificates issued but commercialisation withheld.,2009,https://www.nature.com/articles/467150a
EG-Policy-2012,GM crops,Policy,Cultivation ban since 2012; imports of GM foods/feeds permitted subject to rules.,2012,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Biotechnology+and+Other+New+Production+Technologies+Annual_Cairo_Egypt_EG2023-0021.pdf
ET-Cotton-2018,Cotton (Bt),Regulatory history,First GE crop approved for commercialization (Bt cotton).,2018,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Addis+Ababa_Ethiopia_10-20-2021
EU-Maize-MON810,Maize (MON810),Regulatory history,Approved in 1998; renewed/contested multiple times; still cultivated in Spain/Portugal.,1998,https://ec.europa.eu/food/plants/genetically-modified-organisms/gmo-authorisations/authorised-gm-maize_en
EU-Public-Attitudes,Multiple crops,Socio-political context,Many EU member states ban cultivation despite EFSA approvals; strong public opposition.,2019,https://cordis.europa.eu/article/id/418015-gmo-cultivation-in-europe
EU-Soy-Imports,Soybean (imports),Trade/food-feed,"EU heavily dependent on imports of GM soy from Brazil, US, Argentina.",2018,https://food.ec.europa.eu/plants/genetically-modified-organisms/gmo-authorisations_en
IN-Brinjal-2010,Bt brinjal,Policy dispute,Moratorium imposed despite biosafety approval; strong public opposition.,2010,https://www.downtoearth.org.in/news/agriculture/10-years-of-bt-brinjal-moratorium-india-must-not-ignore-the-science-69471
IN-Cotton-2002,Bt cotton,Adoption/impact,"Bt cotton adoption increased yields and reduced pesticide use, though regional variation reported.",2002,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
IN-Mustard-2022,GM mustard (DMH-11),Policy/legal,Approval granted by GEAC but contested in Supreme Court.,2022,https://www.thehindu.com/sci-tech/agriculture/india-approves-commercial-cultivation-of-gm-mustard/article66033822.ece
KE-Cotton-2019,Cotton (Bt),Commercialization,Cabinet decision enabled Bt cotton; commercial planting from 2020.,2019,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Nairobi_Kenya_KE2023-0007
KE-Courts-2023,Multiple,Legal,Court actions regarding GM approvals; Environment Court dismissal noted Oct 2023.,2023,https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=20477
MX-Cotton-2019,Cotton (GM),Commercial context,GAIN describes Mexico’s GM cotton production and trade role.,2019,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Mexico+City_Mexico_10-20-2019
MX-Maize-Policy-2024,Maize (GM),Policy/legal,USTR submission summarizes GE corn decrees/dispute context.,2024,https://ustr.gov/sites/default/files/4_U.S.%20Rebuttal%20Submission%20w%20Annexes%20%28fin%29%20%5BPUBLIC%5D.pdf
NG-Cotton-2018,Cotton (Bt varieties),Commercialization context,Bt cotton varieties registered; higher yields reported vs. conventional in trials and farmer fields.,2018,https://allianceforscience.org/blog/2018/07/nigeria-commercializes-bt-cotton-first-gmo-crop/
NG-Cowpea-2019,Cowpea (SAMPEA 20-T),Commercial approval & traits,PBR cowpea (AAT709A) approved after trials showed resistance to Maruca vitrata and reduced pesticide use.,2019,https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=17899
NG-Maize-2021,Maize (TELA varieties),Environmental safety,NBMA reviewed environmental release; no adverse impact vs. conventional maize reported before commercialization.,2021,https://allianceforscience.org/blog/2021/10/nigeria-green-lights-gmo-maize/
NZ-Food-Approvals,GM foods (various),Food safety framework,GM foods require FSANZ assessment and are listed in Schedule 26; cultivation not practiced historically.,2025,https://www.foodstandards.gov.au/consumer/gmfood/labelling
PH-BtEggplant-2022,Eggplant (Bt),Approval context,"DA-BPI granted commercial propagation permit Oct 18, 2022; later halted by CA in 2024.",2022,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Philippines+Approved+Bt+Eggplant+for+Commercial+Cultivation_Manila_Philippines_RP2022-0061.pdf
PH-GR2E-2021,Rice (Golden Rice),Regulatory history,DA-BPI issued commercial propagation permit in 2021; later revoked by Court of Appeals in 2024.,2021,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Philippines+First+in+World+to+Approve+Golden+Rice+for+Propagation_Manila_Philippines_07-01-2021.pdf
PH-GR2E-2024,Rice (Golden Rice),Legal ruling,"Court of Appeals revoked Golden Rice commercial-propagation permit (Apr 17, 2024).",2024,https://www.keine-gentechnik.de/fileadmin/news_links/1715343897-urteil-philippinen-ca-g-r-sp-no-00038.pdf
PY-Biotech-2012,Multiple,Regulatory/adoption,GAIN update on approvals for soybean/maize/cotton.,2012,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Buenos+Aires_Paraguay_8-8-2012.pdf
PY-Soy-2007,Soybean (HT),Adoption,Paraguay’s GM soybean adoption ~90% by mid-2000s.,2007,https://apps.fas.usda.gov/gainfiles/200807/146295212.pdf
US-Alfalfa-2011,Alfalfa (HT),Legal/regulatory context,"HT alfalfa deregulated in 2005, re-approved 2011 after court cases.",2011,https://www.aphis.usda.gov/aphis/ourfocus/biotechnology/permits-notifications-petitions/petitions/petitions-status/CT_Alfalfa
US-Apple-2015,Apple (Arctic),Innovation,First GM apple approved in US.,2015,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
US-Cotton-1995,Cotton (Bt),Regulatory history,Bt cotton approved 1995; widely adopted in southern US.,1995,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
US-Maize-1995,Maize (Bt events),Regulatory history,First Bt maize events approved in 1995.,1995,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
US-Papaya-1998,Papaya (Rainbow),Adoption,Rainbow papaya restored papaya production in Hawaii after ringspot virus devastation.,1998,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
US-Potato-2014,Potato (Innate),Innovation,Innate potato approved with reduced bruising/blackening.,2014,https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
US-Soy-1994,Soybean (RR),Regulatory history,RR soybean approved in 1994; rapid adoption followed.,1994,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=155
US-Sugarbeet-2005,Sugar beet (HT),Commercial adoption,HT sugar beet approved 2005; now nearly all production GM.,2005,https://www.aphis.usda.gov/biotechnology/downloads/reg_lofsugarbeet.pdf
UY-Portfolio-2011,Maize (GM),Approvals,Government approved five GM maize events in 2011; wider portfolio available.,2011,https://voyager.fas.usda.gov/voyager/navigo/show?disp=default&id=8b5853e7-79a2-59ee-a6aa-2a5e6d03e354
UY-Soy-Maize-2012,Soybean/Maize,Adoption,Area under GM soy/maize expanded to ~1.1 M ha by 2011.,2012,https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=agricultural+biotechnology+annual_buenos+aires_uruguay_7-2-2012.pdf
VN-Corn-2020,Maize (GE),Adoption,"Biotech corn area exceeded 100,000 ha by 2020; continued growth afterward.",2020,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Hanoi_Vietnam_VM2022-0073.pdf
ZA-Adoption-2017,Maize/soy/cotton,Adoption statistics,"USDA reports ~94% GM maize, ~95% GM soybean, and ~100% GM cotton by 2017/2018.",2019,https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Agricultural+Biotechnology+Annual_Pretoria_South+Africa+-+Republic+of_2-5-2019.pdf
ZA-Maize-1998,Maize (MON810),Regulatory history / policy,BMC paper notes MON810 approved for commercial production in 1998 under the GMO Act framework.,2012,https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/2048-7010-1-S1-S3
